process,relevant,sentiment,gender,dizziness,convulsions,heart palpitations,shortness of breathe,headaches,drug effect decreased,allergies worse after taking drug,bad interaction between claritin and another drug.,nausea ,caused insomnia
macman take claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
otc punkrockprinc need get allergy med tomorrow wonder gonna need prescription sommin like claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
girl sends text heyy im sick nshe want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
macleich cold give claritin thlettertweets,yes,4,male,no,no,no,no,no,no,no,no,no,no
kikmister got claritin lt,yes,4,female,no,no,no,no,no,no,no,no,no,no
ldj theeiii claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin make world go round,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
ispeakcomedy girl sends text heyy im sick nshe want claritin nthis good one andreazinke,yes,4,female,no,no,no,no,no,no,no,no,no,no
reminds take claritin lol joykronicles benadryl kickin,yes,3,male,no,no,no,no,no,no,no,no,no,no
enter race see much paper get done claritin nyquil sleepytime tea get,yes,3,female,no,no,no,no,no,no,no,no,no,no
non drowsy claritin,yes,2,male,no,no,no,no,no,no,no,no,no,no
peter im allergic peter pannegrin gonna idunnooo take claritin n adorbs,yes,4,female,no,no,no,no,no,no,no,no,no,no
divinelydi think effect might amplified take addition allergy medicine claritin dizzle,yes,3,female,no,no,no,no,no,no,no,yes,no,no
claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
say sick probably want claritin mom nhahahaha love mom,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl sends text heyy im sick nshe want claritin n n n,yes,4,female,no,no,no,no,no,no,no,no,no,no
ispeakcomedy girl sends text heyy im sick nshe want claritin ctfu,yes,3,male,no,no,no,no,no,no,no,no,no,no
alright outta claritin still kicking gonna sleep like baby tonight g nite world,yes,4,female,no,no,no,no,no,no,no,no,no,no
idk claritin work hr im suing false advertisement,yes,2,female,no,no,no,no,no,no,no,no,no,no
itsmssim need decongestant man like claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
sneeze give claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
duhshewantsthed sneeze give claritin fuckingawesome,yes,4,male,no,no,no,no,no,no,no,no,no,no
im starting get sick time slam claritin nyquil every night,yes,4,male,no,no,no,no,no,no,no,no,no,no
fuck allergy bright side al nz brought box tissue amp claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin fuck benadryl,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
brittanyanndoe michellemybell guy take claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
allergy want n n n n n n n n n n n n n n n n n n n n n n n n claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
neeeasa hahah used take claritin stopped working benadryl though good stuff trust hahah,yes,2,male,no,no,no,no,no,yes,no,no,no,no
michellemybell regular pill think claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
sheewantsyourd allergy give claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
roommate fat friend living room snoring like bitch hear room need fukkin claritin sumthin,yes,2,male,no,no,no,no,no,no,no,no,no,no
lucyysdiamond michellemybell regular pill think claritin claritin didnt really work,yes,4,male,no,no,no,no,no,no,no,no,no,no
sneeze give claritin,yes,5,male,no,no,no,no,no,no,no,no,no,no
lmao lastb sneeze give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
rebeccaharkin oh time claritin fall alergies making alot people sick time year xxx lt lt lt,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
one claritin make drowsy two make restless stay whole night got solid three hour sleep sweet deal,yes,2,female,no,no,no,no,no,no,no,no,no,yes
allergy hot tea claritin rescue,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin everything breathe,yes,5,female,no,no,no,no,no,no,no,no,no,no
made dr oh thats worst sneezing take claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
never taking claritin want hyperventilate said roof talk building,yes,1,bad_link_or_company,no,no,no,yes,no,no,no,no,no,no
never taking claritin want hyperventilate stand roof tall building,yes,2,female,no,no,no,yes,no,no,no,no,no,no
grizzled bodega owner told indoor outdoor allergy claritin realtalk,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin clear new best friend,yes,4,female,no,no,no,no,no,no,no,no,no,no
feeling non drowsy claim claritin yawn,yes,2,female,no,no,no,no,no,no,no,no,no,no
shedreamsthed sneeze give claritin rosiealison,yes,4,female,no,no,no,no,no,no,no,no,no,no
mahal ng claritin sana effective tapos ang liit,non_english,,,,,,,,,,,,
mcaulay could allergy causing sinus headache use claritin make sure get behind pharmacy counter,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
took claritin kicking end st period,yes,4,female,no,no,no,no,no,no,no,no,no,no
kmont apparently claritin clear,yes,3,female,no,no,no,no,no,no,no,no,no,no
ragweed getting morning gonna take claritin later hate work,yes,2,female,no,no,no,no,no,no,no,no,no,no
allergy death reason wait winter overdose claritin,yes,2,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
jgibbz girl sends text feel good nshe want claritin hahahaha,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
want heard wrong awful allergy want claritin loveit,yes,3,male,no,no,no,no,no,no,no,no,no,no
jessicabailey laugh loud awesome ummm medication differs person try claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
sincerelybhop jessicabailey laugh loud awesome ummm medication differs person try claritin well later,yes,3,female,no,no,no,no,no,no,no,no,no,no
mich mac suck feel like guy claritin commercial nothing help,yes,2,female,no,no,no,no,no,no,no,no,no,no
fuck forgot claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
still got nasal flow think need claritin still keep white girl kim kardashian,yes,4,male,no,no,no,no,no,no,no,no,no,no
advil claritin breakfastofchampions,yes,3,female,no,no,no,no,no,no,no,no,no,no
think anyone notice taken cocktail zyrtec claritin benadryl morning,yes,3,male,no,no,no,no,no,no,no,no,no,no
awwwwww forgot take claritin today,yes,2,female,no,no,no,no,no,no,no,no,no,no
seanithanegan take claritin got box full shit,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
claritin advil tissue kind day probably turn nyquil early bed time kind night,yes,2,female,no,no,no,no,no,no,no,no,no,no
sneeze give claritin,yes,5,female,no,no,no,no,no,no,no,no,no,no
wanna claritin clear,yes,4,female,no,no,no,no,no,no,no,no,no,no
tammijean thank using claritin aleve ok best,yes,4,female,no,no,no,no,no,no,no,no,no,no
felt like getting better took claritin,yes,2,female,no,no,no,no,no,no,yes,no,no,no
mrsmcmedic taken claritin mucinex dm,yes,3,female,no,no,no,no,no,no,no,no,no,no
bethunc doc also let use claritin dry fluid ear would check doc,yes,4,female,no,no,no,no,no,no,no,no,no,no
feel like need typing cap bc took claritin w coffee awakeandalert,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin mucinex zombie status least breath,yes,4,male,no,no,no,no,no,no,no,no,no,no
forgot take claritin coming class consider warning,yes,3,female,no,no,no,no,no,no,no,no,no,no
audreyloviolin omg thought gonna suffocate last night broke took claritin gotta keep min,yes,4,female,no,no,no,no,no,no,no,no,no,no
shewantyourdick sends heyy sick give claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
rob roller bet sinus kuz everybody got shit need find claritin drink orange juice,yes,4,female,no,no,no,no,no,no,no,no,no,no
anyone else allergy attack nose running like faucet ugh claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin clearrrr,yes,4,female,no,no,no,no,no,no,no,no,no,no
took claritin threw took another threw took third staying leslieknope denial,yes,3,unknown,no,no,no,no,no,no,no,no,yes,no
girl sends hey sick probably want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin reditabs weird,yes,2,male,no,no,no,no,no,no,no,no,no,no
jakeruney stephbloom monkeyjenn macman hahaa gonna try change claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
yep definitely fall time go stockpile claritin fb,yes,4,male,no,no,no,no,no,no,no,no,no,no
man claritin working today thought second reaching pocket amp finding untaken pill,yes,3,female,no,no,no,no,no,no,no,no,no,no
feel like shot claritin commercial lift seemingly invisible film much clearer,yes,3,male,no,no,no,no,no,no,no,no,no,no
j l yes told claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
note self talk claritin anymore feel like run marathon jumpy butidontrun,yes,2,female,no,no,no,no,no,no,no,no,no,no
girl tell sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
drudge report dawnkazmierzak good news u hoosier truly endemic honey effective claritin worry good hand,yes,2,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
artistjayallen take wal itin walgreens version claritin worked great amp day,yes,3,male,no,no,no,no,no,no,no,no,no,no
jbelle kiddie claritin p cuz al take anything else reacts bad worse allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
jbelle allergy med raise al blood pressure lot claritin bad still suck kid stuff half dose work,yes,4,female,no,no,no,no,no,no,no,no,no,no
side note chicken noodle soup claritin peppermint tea saving life right pack hour atlbound,yes,5,female,no,no,no,no,no,no,no,no,no,no
feel like foggy version people claritin commercial allergy muddafuka,yes,2,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
searching room find claritin allergy death,yes,2,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
ell oh allegra claritin work,yes,3,male,no,no,no,no,no,no,no,no,no,no
lindsaywoods doctor said zyrtex claritin benadryl ok,yes,4,female,no,no,no,no,no,no,no,no,no,no
breathe today claritin benadryl best friend,yes,5,female,no,no,no,no,no,no,no,no,no,no
lyd want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
feline allergic sister bought cat named claire short claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
jordanlynn need claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
hid claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
meanderfox also remember one ego really allergic cat dog fyi take claritin p,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
girl sick need claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
carrying claritin ur backpack useful,yes,4,female,no,no,no,no,no,no,no,no,no,no
jinxremoving already claritin nasonex,yes,4,female,no,no,no,no,no,no,no,no,no,no
hahaha would enjoy claritin sickday ewh ineedsomemeds,yes,4,female,no,no,no,no,no,no,no,no,no,no
tired headache took claritin really tired sinus headache want healthy,yes,4,female,no,no,no,no,no,no,no,no,no,no
sybil luck claritin heard take hour kick hopefully helping,yes,2,female,no,no,no,no,no,no,no,no,no,no
yuck allergy season headache stuffy nose stinging eye nhello claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
time go shower feeling rain soon need get claritin stuck sniffling sneezing,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
need advil amp claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
ispeakcomedy girl sends text heyy im sick nshe want claritin hahahaha,yes,4,female,no,no,no,no,no,no,no,no,no,no
rousehouse last time took claritin sleep two day energized,yes,3,female,no,no,no,no,no,no,no,no,no,yes
claritin save day naptime,yes,5,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
thejbird found claritin work better wal mart generic super cheap swear around,yes,4,male,no,no,no,no,no,no,no,no,no,no
eazyyb thecoolcatval claritin girl,yes,3,female,no,no,no,no,no,no,no,no,no,no
class ended early allergy check thanks claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
colleenmcandrew thats exactly take claritin help much made much le congested allergic,yes,5,female,no,no,no,no,no,no,no,no,no,no
claritin pill cut half rt martymckee heart must size sucrets,yes,3,male,no,no,no,no,no,no,no,no,no,no
ashley r u try claritin help alot n non drowsy,yes,4,female,no,no,no,no,no,no,no,no,no,no
thank jesus claritin zyrtec amp allegra,yes,5,female,no,no,no,no,no,no,no,no,no,no
girl say shes sick wont n n n n n nclaritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
whose got claritin ya boy slowly dieing,yes,4,male,no,no,no,no,no,no,no,no,no,no
andrealovex take allergy medicine alergra claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
ppl claritin zyrtec,yes,3,female,no,no,no,no,no,no,no,no,no,no
finished cleaning science supply closet allergy kicking thank god brought claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin took morning musta placebo,yes,2,male,no,no,no,no,no,yes,yes,no,no,no
claritin clear wonder would like feel perfectly healthy everyday ha ha ha,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin bad become cursed allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
whats best med crazy sinus problem runny nose already claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
girl sends text heyy im sick nshe want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
imtooswavey girl sends text heyy im sick nshe want claritin lmao,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl sends text heyy im sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
mishysays killed many need restock sudafed tylenol claritin nyquil,yes,3,female,no,no,no,no,no,no,no,no,no,no
jeffbrotherhood usually ok add b claritin take b maybe hold claritin tomorrow pharmacist,yes,3,male,no,no,no,no,no,no,no,no,no,no
shes sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
imtooswavey girl sends text heyy im sick nshe want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
badluckmeme take benadryl allergy dy allergic reaction benadryl sigh happened claritin,yes,2,male,no,no,no,no,no,no,no,no,no,no
starrlitlove using retail therapy today afford buy anything really need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
yo grl txt u say heyy sick want claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
girl sends heyy sick want claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
hcs ques really said claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
movida agora base de claritin por causa da obra aqui em casa,non_english,,,,,,,,,,,,
want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin crunch,yes,3,male,no,no,no,no,no,no,no,no,no,no
girl tell sick probably want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
need n n n nclaritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin omg,yes,4,female,no,no,no,no,no,no,no,no,no,no
see best take claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
sick amp want medicine give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
rd nap criss took today claritin done took baby,yes,2,female,no,no,no,no,no,no,no,no,no,no
someone bring claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
happens drink wine non drowsy claritin pill know follower pharm major,yes,3,female,no,no,no,no,no,no,no,no,no,no
fun fact allergic benadryl claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
girl say sick need claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
u wish claritin clear cause hate allergy,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
made day without claritin sudafed smallvictories,yes,3,female,no,no,no,no,no,no,no,no,no,no
bring claritin allergy know real,yes,4,female,no,no,no,no,no,no,no,no,no,no
healthy diet claritin green tea,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl sends n n heyy sick n nshe want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
suprised mom actually got claritin allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
darn claritin clearly job prescription strength axx ugh,yes,2,female,no,no,no,no,no,no,yes,no,no,no
need claritin histamine allupinmysystem,yes,4,female,no,no,no,no,no,no,no,no,no,no
damn straightrt abrupt thought claritin benadryl worked wonder,yes,4,male,no,no,no,no,no,no,no,no,no,no
sondoman like people taking claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
start buying kitten claritin seeing gonna forever alone,yes,2,female,no,no,no,no,no,no,no,no,no,no
allergy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl sends text heyy im sick nshe want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
lehrer need claritin dobesticissues,yes,3,male,no,no,no,no,no,no,no,no,no,no
mittromney face look like pic claritin ad debate,yes,3,male,no,no,no,no,no,no,no,no,no,no
romney evidently smart man need throw claritin mindset clearly thinking clearly,yes,4,male,no,no,no,no,no,no,no,no,no,no
ecfrost cough drop green tea claritin advil first two help clear make functional,yes,4,male,no,no,no,no,no,no,no,no,no,no
someone love bring claritin something allergy literally raping right,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin eye drop kicked gosh cannot explain word relief feel right,yes,5,female,no,no,no,no,no,no,no,no,no,no
mitt cant stop blinkin need claritin non drowsy,yes,3,male,no,no,no,no,no,no,no,no,no,no
girl send hey sick nshe probably want n nnon drowsy claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
need claritin benadryl cause blinking every three second um mittromney,yes,3,female,no,no,no,no,no,no,no,no,no,no
katylopezzzz took claritin hour relief relieved,yes,1,female,no,no,no,no,no,no,yes,no,no,no
even name drug taken try feel better advil claritin dimetapp,yes,4,male,no,no,no,no,no,no,no,no,no,no
romney look like need claritin clear sound congested,yes,4,female,no,no,no,no,no,no,no,no,no,no
child grape claritin good,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
romney green room ryder b cortisone excedrine migraine claritin patron silver intern swirlie towel whip,yes,3,male,no,no,no,no,no,no,no,no,no,no
feel like im claritin commercial pull fuzzy screen sick,yes,3,female,no,no,no,no,no,no,no,no,no,no
rt tedleo romney green room ryder b cortisone excedrine migraine claritin patron silver intern swirlie towel whip,yes,3,male,no,no,no,no,no,no,no,no,no,no
girl tell allergy want claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
mother law awesome bought claritin pray perfect remedy,yes,4,female,no,no,no,no,no,no,no,no,no,no
fucking claritin clear commercial played four time straight could recite,yes,2,female,no,no,no,no,no,no,no,no,no,no
girlfriend say sick want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
told mama need allegra nd told take sleep take damn claritin doctor gave n rude,yes,4,female,no,no,no,no,no,no,no,no,no,no
shes sick give claritin dddddd tahhah lovemybabe,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin rt juandelay anybody got oatmeal benadryl im havin allergic,yes,3,female,no,no,no,no,no,no,no,no,no,no
cold want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
ohmyjosh aww time claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin hot tea myliferightnow allergyprobs,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
sick gave claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin givin wild dream tho,yes,4,male,no,no,no,no,no,no,no,no,no,no
ti season advil allegra claritin tissue vicks feellikecrap,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
osso aguentar rinite mesmo com claritin j vou,non_english,,,,,,,,,,,,
steam hot tea claritin emergen c wittle florida body handle whole changing season business,yes,3,female,no,no,no,no,no,no,no,no,no,no
maybe gone wake news claritin pill slight exaggeration seem kicking finally,yes,4,female,no,no,no,no,no,no,no,no,no,no
patiently waiting claritin kick allergy killing,yes,4,female,no,no,no,no,no,no,no,no,no,no
heart song took sudafed theraflu niquil claritin congested know breathe lol,yes,4,female,no,no,no,no,no,no,no,no,no,no
juliebenz austin lovely right unless mold allergy case pack claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jar c e claritin benadryl,yes,3,female,no,no,no,no,no,no,no,no,no,no
nurse allegra claritin zyrtec different ingredient best,yes,3,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight swear claritin,yes,5,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight prefer claritin work better,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
jonathanrknight zyrtec time affect ur mood make angry go claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight mommy nurse say bad allergy claritin clear quickly,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight take zyrtec allergy work claritin bit stronger u might want go,yes,4,male,no,no,no,no,no,no,no,no,no,no
zyrtec work best jonathanrknight nurse allegra claritin zyrtec different ingredient best,yes,2,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight mom always say claritin best,yes,5,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight prefer claritin work better,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight patient seem prefer claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight personally prefer claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight allegra zyrtec made sleepy point almost function found claritin best,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin take get sleep amp call morning lol iwish,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin never done wrong jonathanrknight nurse allegra claritin zyrtec different ingredient best,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight allergy would say claritin always worked best,yes,5,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin see prescribed well received among patient,yes,5,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight experience claritin singing hour window relief xox,yes,3,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse claritin always worked best,yes,5,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight pro zyrtec coz non drowsy sister swears claritin never tried allegra though,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight doc take allegra zyrtec work well claritin never much,yes,2,female,no,no,no,no,no,yes,no,no,no,no
jonathanrknight claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight would go claritin bit stronger allegra zyrtec,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse allegra always worked best claritin nothing,yes,2,female,no,no,no,no,no,no,yes,no,no,no
jonathanrknight nurse allegra claritin zyrtec different ingredient best gt gt gt ajsfantasy say zyrtec,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight allergy certain one decongestant say allegra go claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight used allergic dog took claritin year developed resistance allergy pup,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse allegra claritin zyrtec different ingredient best claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
nurse tried jonathanrknight allegra work best claritin useful popping amp,yes,4,female,no,no,no,no,no,no,yes,no,no,no
jonathanrknight head zyrtec best claritin nose amp allegra chest sneezing eye visine drop,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight used claritin work good zyrtec best mytwocents,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight doctor work always u tell patient start claritin work pediatrics,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight physical educator think claritin work faster better,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight like claritin sinus headache nurse,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
jonathanrknight take claritin work great,yes,5,female,no,no,no,no,no,no,no,no,no,no
lainey say ur pharmacist help jon rt jonathanrknight nurse allegra claritin zyrtec diff ingredient best,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight zyrtec claritin work great,yes,4,male,no,no,no,no,no,no,no,no,no,no
like claritan best tried jonathanrknight nurse allegra claritin zyrtec different ingr,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight like claritin work well,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight raw local honey zyrtec work month claritin best find raw honey,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin well work best daughter anyway feel better,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight depends work best zyrtec work best kid claritin work great,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse patient seem well claritin flonase rx,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin take every day feel great time,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse allegra claritin zyrtec different ingredient best zyrtec driwsiness,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight start claritin longer cheaper try week u like switch allegra,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
jonathanrknight try alavert ingredient claritin work better least also flonase shot,yes,2,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin hr work allegra knock zyrtec work well anytime need nurse,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight zyrtec made way drowsy prefer claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight like claritin want sleep take benadryl tonight,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight personal preference get claritin,yes,5,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight bad jon said claritin allegra depends person,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin work wonder,yes,5,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin better,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight depends symptom amp causing found claritin best animal amp outside allergen,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight totally personal depends tried trial amp error claritin work lot rnbeforeho,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin made dizzy heart race zyrtek way,yes,2,female,yes,no,yes,no,no,no,no,no,no,no
jonathanrknight nurse allegra claritin zyrtec different ingredient best nyquil,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight told terrible allergy sufferer increase effectiveness allegra lowest claritin zyrtec,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin loratadine inside feel asleep,yes,4,male,no,no,no,no,no,no,no,no,no,yes
jonathanrknight claritin journalist lol,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight zyrtec side effect work claritin really work well allegra try allegra first,yes,2,female,no,no,no,no,no,yes,no,no,no,no
claritin cough suppresant hope barking coughing two day,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin take moment day zyrtec night,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
jonathanrknight lol sudafed amp crystal meth lol trust claritin work take allergy work,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight allergy asthma used claritin zyrtec pretty good found claritin made sleepier,yes,2,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
wld say claritin looked inet rt jonathanrknight nurse allegra claritin zyrtec different ingredient best,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight use claritin rhinitis night co knock sends straight zzzzzz,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight ya go would go claritin first though justsayin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight prefer claritin sudafed cheap p,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse allegra claritin zyrtec different ingredient best gt ask scb vp,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight depends need fast acting relief sustained relief period time use claritin seasonal allergy,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
ima od claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse allegra claritin zyrtec different ingredient best mean pharmacist,yes,3,female,no,no,no,no,no,no,no,no,no,no
